ID_CLIENTE,SAFRA_REF,PROBABILIDADE_INADIMPLENCIA
5058298901476893676,2021-07,0.08
274692171162531764,2021-07,0.02
274692171162531764,2021-07,0.02
274692171162531764,2021-07,0.02
465309249432033993,2021-07,0.0
465309249432033993,2021-07,0.0
465309249432033993,2021-07,0.0
465309249432033993,2021-07,0.0
5883155883105348987,2021-07,0.02
5883155883105348987,2021-07,0.02
4489904752023469353,2021-07,0.07
3355881107559250653,2021-07,0.02
3355881107559250653,2021-07,0.03
3355881107559250653,2021-07,0.03
3355881107559250653,2021-07,0.03
3355881107559250653,2021-07,0.0
3355881107559250653,2021-07,0.03
3355881107559250653,2021-07,0.03
6330043096034525408,2021-07,0.02
6330043096034525408,2021-07,0.02
6964108750473070287,2021-07,0.04
6964108750473070287,2021-07,0.03
6964108750473070287,2021-07,0.01
6964108750473070287,2021-07,0.03
6964108750473070287,2021-07,0.03
6964108750473070287,2021-07,0.02
6964108750473070287,2021-07,0.02
6964108750473070287,2021-07,0.04
6964108750473070287,2021-07,0.01
6964108750473070287,2021-07,0.04
6964108750473070287,2021-07,0.01
6964108750473070287,2021-07,0.01
6964108750473070287,2021-07,0.03
6964108750473070287,2021-07,0.02
6964108750473070287,2021-07,0.02
6964108750473070287,2021-07,0.03
4008627434689715639,2021-07,0.17
4008627434689715639,2021-07,0.18
4008627434689715639,2021-07,0.17
5757271354816214865,2021-07,0.34
5757271354816214865,2021-07,0.65
5757271354816214865,2021-07,0.37
5757271354816214865,2021-07,0.35
5757271354816214865,2021-07,0.35
5757271354816214865,2021-07,0.35
5757271354816214865,2021-07,0.36
5757271354816214865,2021-07,0.38
5757271354816214865,2021-07,0.35
5757271354816214865,2021-07,0.36
5757271354816214865,2021-07,0.34
5757271354816214865,2021-07,0.65
5757271354816214865,2021-07,0.33
5757271354816214865,2021-07,0.35
5757271354816214865,2021-07,0.35
8909740532547211288,2021-07,0.0
8909740532547211288,2021-07,0.0
8909740532547211288,2021-07,0.0
4045739494965095560,2021-07,0.0
4045739494965095560,2021-07,0.0
4045739494965095560,2021-07,0.01
6759864637454708017,2021-07,0.06
6759864637454708017,2021-07,0.05
6759864637454708017,2021-07,0.07
6759864637454708017,2021-07,0.05
6759864637454708017,2021-07,0.09
6759864637454708017,2021-07,0.05
6134696632487351445,2021-07,0.03
6134696632487351445,2021-07,0.07
6134696632487351445,2021-07,0.03
5373371196946859811,2021-07,0.08
3095686599956852697,2021-07,0.0
3095686599956852697,2021-07,0.0
3095686599956852697,2021-07,0.0
1616952665234409442,2021-07,0.06
1616952665234409442,2021-07,0.07
1088521227159442264,2021-07,0.03
1088521227159442264,2021-07,0.0
1088521227159442264,2021-07,0.03
8529899700094903171,2021-07,0.0
8529899700094903171,2021-07,0.01
8529899700094903171,2021-07,0.0
8529899700094903171,2021-07,0.0
8529899700094903171,2021-07,0.0
8529899700094903171,2021-07,0.01
8529899700094903171,2021-07,0.01
499242942549937267,2021-07,0.03
499242942549937267,2021-07,0.05
499242942549937267,2021-07,0.05
499242942549937267,2021-07,0.05
499242942549937267,2021-07,0.05
499242942549937267,2021-07,0.03
499242942549937267,2021-07,0.05
499242942549937267,2021-07,0.04
499242942549937267,2021-07,0.04
5897410907783139228,2021-07,0.01
5897410907783139228,2021-07,0.0
5897410907783139228,2021-07,0.01
5897410907783139228,2021-07,0.01
2083323809219952960,2021-07,0.0
2083323809219952960,2021-07,0.0
2083323809219952960,2021-07,0.0
2083323809219952960,2021-07,0.0
2083323809219952960,2021-07,0.0
2083323809219952960,2021-07,0.0
2083323809219952960,2021-07,0.0
2083323809219952960,2021-07,0.0
2083323809219952960,2021-07,0.0
2083323809219952960,2021-07,0.0
1953058402621337677,2021-07,0.01
1953058402621337677,2021-07,0.0
1953058402621337677,2021-07,0.0
1953058402621337677,2021-07,0.0
3408536439470975134,2021-07,0.0
3408536439470975134,2021-07,0.0
3408536439470975134,2021-07,0.0
3408536439470975134,2021-07,0.0
